evt,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
69,1059.5762287207472,97.242355,0.5950928,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
70,1935.0491734904624,204.17451,1.9545898,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
71,1639.5569022525815,170.24788,0.17236328,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
72,1906.174315213028,170.24788,0.17236328,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
73,1607.025537939987,347.57193,0.19070435,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
74,1327.8592847319285,347.57193,0.19070435,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
75,1846.7410116997864,179.2756,0.8425293,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
76,1456.1764005199304,179.2756,0.8425293,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
77,734.2037116925716,182.38533,1.1254883,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
78,960.0375364786372,182.38533,1.1254883,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
79,1307.604524658126,130.98607,0.4494629,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
80,927.3143050732872,130.98607,0.4494629,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
81,1227.4143753942228,406.12405,0.58618164,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
82,1293.3635781965052,406.12405,0.58618164,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
83,993.5692630059284,406.12405,0.58618164,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
84,1195.9944272247812,148.48021,0.87390137,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
85,1176.5441502264375,148.48021,0.87390137,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
86,1069.7169720990971,148.48021,0.87390137,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
87,1230.1054484182837,184.26169,1.7397461,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
88,1113.6263384167823,184.26169,1.7397461,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
89,1715.7372775532826,184.26169,1.7397461,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
90,872.2049117914023,238.82726,1.2280273,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
91,680.6461227107203,238.82726,1.2280273,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
92,488.5753012433406,301.14447,0.70422363,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
93,578.1402763373903,301.14447,0.70422363,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
94,973.5234412697316,111.97119,1.1967773,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
95,797.246829999581,111.97119,1.1967773,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
96,874.0945338689727,149.32089,0.39575195,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
97,702.9582508370015,149.32089,0.39575195,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
98,331.63530736297054,113.152985,0.3739624,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
99,459.107965634606,113.152985,0.3739624,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
100,676.8306602622101,312.085,0.83361816,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
101,2722.567899558564,312.085,0.83361816,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
102,571.1521061777285,312.085,0.83361816,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
103,919.713584327635,312.085,0.83361816,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
104,530.838206008919,195.58104,0.8691406,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
105,615.3724714314551,195.58104,0.8691406,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
106,3184.873289480212,363.1298,1.154541,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
107,1008.365208751181,93.09784,0.14404297,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
108,1242.35051903999,79.334984,0.8338623,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
109,1106.6795752908336,79.334984,0.8338623,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
110,1169.2327853084205,326.1395,0.7155762,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
111,1834.2350344511296,175.60732,0.52441406,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
112,1301.7096326980577,175.60732,0.52441406,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
113,1369.8016653093498,107.43061,1.3793945,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
114,1538.0429330894085,127.8891,0.41601562,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
115,1406.009481378502,127.8891,0.41601562,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
116,1249.2407127343706,127.8891,0.41601562,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
117,658.1195372814043,125.971664,1.526123,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
118,998.36519561562,125.971664,1.526123,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
119,592.6809363294759,125.971664,1.526123,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
120,1200.7234806657443,266.27106,1.0871582,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
121,1107.5287406293216,266.27106,1.0871582,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
122,570.6412114060867,119.27202,0.01777649,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
123,700.1560821160017,119.27202,0.01777649,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
124,1676.867789724594,493.0065,0.49475098,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
125,1624.1949409661136,493.0065,0.49475098,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
126,1612.8984808097011,493.0065,0.49475098,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
127,900.8785830204546,164.44583,0.4336548,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
128,827.8400269628278,164.44583,0.4336548,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
129,682.5388325999036,66.60396,0.65893555,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
130,492.0363268109505,66.60396,0.65893555,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
131,499.1238648066393,240.37927,0.66345215,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
132,542.7135519980969,240.37927,0.66345215,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
133,1222.481291174376,186.28069,0.5994873,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
134,924.8441362657018,186.28069,0.5994873,-999.0,-999.0,3390670.0,-999.0,-999.0,-999.0
135,834.6349006414349,260.29575,1.1118164,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
136,871.3353482562854,260.29575,1.1118164,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
137,1346.779058257032,77.90884,0.5620117,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
138,1925.515116907457,117.52138,0.028133392,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
139,1078.501150530829,124.43197,1.0529785,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
140,1691.9873860424568,135.11493,0.48413086,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
141,1522.4864069097111,135.11493,0.48413086,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
142,1518.148091153742,75.00875,1.2338867,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
143,1752.0906498281167,177.53181,0.6435547,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
144,2296.108713977339,172.77849,0.30511475,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
145,1956.539661468102,195.96828,1.4379883,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
146,1009.6976453064414,170.9216,0.6230469,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
147,367.0106356741786,234.36221,0.703125,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
148,532.8219527619779,234.36221,0.703125,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
149,2604.3054374359267,143.86185,2.321289,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
150,1285.8434116837564,104.69893,0.93066406,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
151,1571.5278655505977,174.21834,0.8510742,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
152,1219.2482924618798,174.21834,0.8510742,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
153,1208.4172203837954,174.21834,0.8510742,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
154,1167.9307467104234,174.21834,0.8510742,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
155,1013.8763409213216,170.08286,0.43695068,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
156,1132.6361359153286,125.05731,0.5645752,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
157,841.9332306817482,125.05731,0.5645752,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
158,1609.4930500020732,88.81684,0.6361084,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
159,1649.331073781065,88.81684,0.6361084,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
160,1148.5988917142788,193.18298,0.9083252,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
161,1199.1023645016069,193.18298,0.9083252,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
162,2322.4791384780856,499.34894,0.55444336,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
163,1003.19792274706,167.35397,0.2046814,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
164,871.3224600953547,106.90339,1.4279785,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
165,1205.09058081895,106.90339,1.4279785,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
166,661.0537526507356,106.90339,1.4279785,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
167,637.5789037671904,106.90339,1.4279785,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
168,1473.2750495475905,225.16986,0.6278076,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
169,1386.2199252771725,204.54729,0.6883545,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
170,1090.2020839694212,177.87613,0.9406738,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
171,1054.1124049925434,177.87613,0.9406738,-999.0,-999.0,2572014.0,-999.0,-999.0,-999.0
172,2048.0058682741114,67.760345,0.34173584,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
173,1731.2223086044114,67.760345,0.34173584,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
174,1787.6488307768836,93.19773,0.81481934,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
175,1421.0831874845876,93.19773,0.81481934,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
176,356.0761167716029,112.57171,0.23565674,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
177,1499.964774962638,282.19986,0.68188477,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
178,1221.1966332976804,156.98534,0.5839844,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
179,1191.1973050930628,156.98534,0.5839844,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
180,2821.28389613963,75.50677,1.0966797,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
181,2058.5945262700584,75.50677,1.0966797,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
182,1416.1464279627976,101.48794,1.440918,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
183,1411.9669979070184,101.48794,1.440918,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
184,1360.780660216552,202.06906,0.25378418,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
185,1251.0865141185543,202.06906,0.25378418,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
186,1321.9654487760902,202.06906,0.25378418,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
187,1276.9656978303633,77.01216,1.2946777,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
188,1350.389597012589,77.01216,1.2946777,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
189,725.5867357297898,294.41858,0.15264893,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
190,627.1738691574974,294.41858,0.15264893,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
191,1415.6117057703611,151.81993,1.25,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
192,1719.6341406223205,260.51456,0.36572266,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
193,1729.8308896799867,273.69846,0.12585449,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
194,1590.6777652286537,273.69846,0.12585449,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
195,1737.783905670672,516.20703,0.7089844,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
196,1491.1554852568747,174.2741,2.3393555,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
197,1462.303682667874,174.2741,2.3393555,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
198,675.2574349580843,127.58475,0.13293457,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
199,1360.3495068639372,131.20172,1.5241699,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
200,1429.4139769773542,126.93424,1.0366211,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
201,1433.2985556615183,126.93424,1.0366211,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
202,862.1949593820052,117.26476,0.39868164,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
203,546.6442892245028,77.605515,0.7890625,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
204,786.3003172344222,125.221794,1.1411133,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
205,729.4739241499677,125.221794,1.1411133,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
206,1545.769391125723,205.14891,0.029548645,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
207,1015.71204874688,205.14891,0.029548645,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
208,912.231896225613,205.14891,0.029548645,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
209,928.6848499611546,205.14891,0.029548645,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
210,1474.715402866463,116.62388,0.26470947,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
211,1375.307466815509,116.62388,0.26470947,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
212,672.9685004457955,111.221924,0.5761719,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
213,688.4308904006363,111.221924,0.5761719,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
214,1003.1656154659372,78.56642,0.60595703,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
215,1115.1119106375752,78.56642,0.60595703,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
216,1982.5104770454875,514.5773,1.0791016,-999.0,-999.0,2900330.0,-999.0,-999.0,-999.0
217,1073.944017524519,84.30898,1.3571777,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
218,1317.2472530169014,84.30898,1.3571777,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
219,1483.1586044299074,203.62865,0.43951416,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
220,1286.936896349502,203.62865,0.43951416,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
221,1227.3660710525985,203.62865,0.43951416,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
222,1135.7352085382406,203.62865,0.43951416,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
223,1087.57532712819,79.68167,0.5875244,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
224,1028.7247392197062,169.06708,1.2890625,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
225,2367.290054268491,268.39886,1.0400391,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
226,2304.02649044309,268.39886,1.0400391,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
227,2207.073700330501,268.39886,1.0400391,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
228,1148.9173032673275,61.88448,0.28222656,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
229,1248.350801838577,61.88448,0.28222656,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
230,871.3413645058957,61.88448,0.28222656,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
231,420.6682377415917,70.79338,0.14541626,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
232,510.73533755879055,70.79338,0.14541626,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
233,297.98355748190085,178.37236,0.08401489,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
234,434.0825460226188,178.37236,0.08401489,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
235,1439.860999043208,55.901604,0.7281494,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
236,1897.0553426478843,55.901604,0.7281494,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
237,1047.683226268928,135.47755,0.022212982,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
238,1704.535434854899,74.07465,0.7327881,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
239,1512.1618113583738,191.71458,0.21499634,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
240,1191.2141846019526,191.71458,0.21499634,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
241,1915.6919045116576,138.72891,1.1506348,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
242,1284.431270971473,116.30022,1.3068848,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
243,1358.3574882737068,116.30022,1.3068848,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
244,1135.050503694741,116.30022,1.3068848,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
245,949.4733118132336,116.30022,1.3068848,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
246,923.3711392747264,91.38298,0.666626,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
247,733.0577657704843,64.67374,0.75354004,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
248,726.534888549156,64.67374,0.75354004,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
249,498.4681788191643,139.21643,0.7607422,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
250,1780.101979933943,441.6816,1.2504883,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
251,1714.579039205076,441.6816,1.2504883,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
252,448.60932174177145,64.422554,0.7188721,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
253,730.1631409354885,356.2022,1.5710449,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
254,986.3591822967755,356.2022,1.5710449,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
255,827.8241321164107,356.2022,1.5710449,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
256,1508.549929456209,134.51149,1.1362305,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
257,1387.4318338604128,324.9139,2.3251953,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
258,456.4011451303891,136.57288,0.1621399,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
259,2609.412725736754,681.36694,0.9765625,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
260,1514.7675512213675,160.10172,0.5827637,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
261,1165.2762275692712,56.7251,0.73168945,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
262,2313.9807755974143,636.278,1.2922363,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
263,1907.5066935428629,636.278,1.2922363,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
264,1185.9766428023293,60.46999,0.64416504,-999.0,-999.0,2946075.0,-999.0,-999.0,-999.0
